ID,Title,Year,Budget,Gross Income
427,Indian Summer,1993,9000000,14904910
428,Jason Goes to Hell: The Final Friday,1993,3000000,15935068
429,Josh and S.A.M.,1993,18000000,1640220
430,The Joy Luck Club,1993,11000000,32901136
431,Judgment Night,1993,21000000,12526677
432,Jurassic Park,1993,63000000,1030314141
433,Kalifornia,1993,9000000,2395231
434,King of the Hill,1993,8000000,1214231
435,Last Action Hero,1993,85000000,137298489
436,Leprechaun,1993,900000,8556940
437,Little Buddha,1993,35000000,4858139
438,Look Who's Talking Now,1993,22000000,10340263
439,Lost in Yonkers,1993,15000000,9285189
440,Made in America,1993,22000000,104942695
441,Malice,1993,20000000,46405336
442,Man's Best Friend,1993,6000000,12974636
443,Manhattan Murder Mystery,1993,13500000,11330911
444,Married to It,1991,14000000,2059832
445,Matinee,1993,13000000,9532895
446,Menace II Society,1993,3500000,27912072
447,The Meteor Man,1993,30000000,8016708
448,Money for Nothing,1993,11000000,1039824
449,Mother's Boys,1993,8000000,737548
450,Mr. Jones,1993,25000000,8345845
451,Mr. Nanny,1993,10000000,4348572
452,Mr. Wonderful,1993,13000000,3125424
453,Mrs. Doubtfire,1993,25000000,441286195
454,Much Ado About Nothing,1993,11000000,22549338
455,My Boyfriend's Back,1993,12000000,3335984
456,My Life,1993,15000000,27804899
457,My Life's in Turnaround,1993,22000,163383
458,Loaded Weapon 1,1993,13000000,27979399
459,The Night We Never Met,1993,8000000,1884814
460,The Nightmare Before Christmas,1993,18000000,88170974
461,Nowhere to Run,1993,15000000,22189039
462,The Nutcracker,1993,19000000,2119994
463,Once Upon a Forest,1993,13000000,6582052
464,Only the Strong,1993,6000000,3283371
465,Orlando,1992,4000000,5377643
466,The Pelican Brief,1993,45000000,195268056
467,A Perfect World,1993,30000000,135130999
468,Philadelphia,1993,26000000,206678440
469,Philadelphia Experiment II,1993,5000000,2970
470,The Piano,1993,7000000,40168956
471,Poetic Justice,1993,14000000,27515786
472,Posse,1993,10000000,18289763
473,The Princess and the Goblin,1991,10000000,2105078
474,The Program,1993,15000000,23032565
475,The Remains of the Day,1993,15000000,23237911
476,Return of the Living Dead III,1993,2000000,54207
477,Rising Sun,1993,35000000,107198790
478,Robin Hood: Men in Tights,1993,20000000,35739755
479,RoboCop 3,1993,22000000,10696210
480,Romeo Is Bleeding,1993,11500000,3275585
481,Rookie of the Year,1993,10000000,56500758
