title,gross_income,budget,year
Mystery Men,29762011.0,68000000,1999
Runaway Bride,309457509.0,70000000,1999
Dick,27500000.0,13000000,1999
The Iron Giant,23159305.0,70000000,1999
The Sixth Sense,672806292.0,40000000,1999
The Thomas Crown Affair,124305181.0,48000000,1999
Brokedown Palace,13000000.0,25000000,1999
Detroit Rock City,4217115.0,6500000,1999
Never Talk to Strangers,6.0,6400000,1995
An American Werewolf in Paris,26570463.0,22000000,1997
The Pelican Brief,195268056.0,45000000,1993
Teaching Mrs. Tingle,8946237.0,13000000,1999
Universal Soldier: The Return,10667893.0,45000000,1999
In Too Deep,14011454.0,7000000,1999
The 13th Warrior,61698899.0,160000000,1999
The Astronaut's Wife,19598588.0,75000000,1999
Chill Factor,11263966.0,70000000,1999
Outside Providence,7292175.0,7000000,1999
Stigmata,50041732.0,29000000,1999
Stir of Echoes,21133087.0,12000000,1999
American Beauty,356296601.0,15000000,1999
Blue Streak,117758500.0,65000000,1999
Thumbelina,11373501.0,28000000,1994
Double Jeopardy,177841558.0,70000000,1999
Guinevere,614202.0,2600000,1999
Drive Me Crazy,22593409.0,8000000,1999
"Mystery, Alaska",8888143.0,28000000,1999
Three Kings,108000000.0,75000000,1999
"Happy, Texas",1943649.0,1700000,1999
The Dark Half,10611160.0,15000000,1993
